서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 당일 사망자
2021.12.16.00,193389,3057,1438,2021.12.16.00,544117,7622,
2021.12.15.00,190332,3166,1418,2021.12.15.00,536495,7850,
2021.12.14.00,187169,2062,1395,2021.12.14.00,528652,5567,
2021.12.13.00,185108,2550,1356,2021.12.13.00,523088,5817,
2021.12.12.00,182558,2528,1340,2021.12.12.00,512976,6689,
2021.12.11.00,180031,2835,1328,2021.12.11.00,510583,6977,
2021.12.10.00,177196,2800,1304,2021.12.10.00,503606,7022,
2021.12.09.00,174396,2790,1280,2021.12.09.00,496584,7102,
2021.12.08.00,171606,2901,1263,2021.12.08.00,489484,7175,
2021.12.07.00,168705,2120,1239,2021.12.07.00,482310,4954,
2021.12.06.00,166586,1408,1214,2021.12.06.00,477358,4325,
2021.12.05.00,165178,2032,1193,2021.12.05.00,473034,5128,
2021.12.04.00,163146,2273,1178,2021.12.04.00,467907,5352,
2021.12.03.00,160873,2099,1148,2021.12.03.00,462555,4944,
2021.12.02.00,158774,2268,1136,2021.12.02.00,457612,5266,
2021.12.01.00,156507,2222,1113,2021.12.01.00,452350,5123,
2021.11.30.00,154286,1186,1100,2021.11.30.00,447230,3032,
2021.11.29.00,153100,1393,1084,2021.11.29.00,444200,3309,
2021.11.28.00,151711,1676,1072,2021.11.28.00,440896,3928,
2021.11.27.00,150035,1888,1046,2021.11.27.00,436968,4068,
2021.11.26.00,148147,1742,1025,2021.11.26.00,432901,3901,
2021.11.25.00,146406,1760,1004,2021.11.25.00,429002,3938,
2021.11.24.00,144647,1735,994,2021.11.24.00,425065,4116,
2021.11.23.00,142913,1165,973,2021.11.23.00,420950,2699,
2021.11.22.00,141748,1278,960,2021.11.22.00,418252,2827,
2021.11.21.00,140470,1320,952,2021.11.21.00,415425,3120,
2021.11.20.00,139154,1377,941,2021.11.20.00,412311,3212,
2021.11.19.00,137777,1401,926,2021.11.19.00,409099,3034,
2021.11.18.00,136376,1429,912,2021.11.18.00,406065,3292,
2021.11.17.00,134948,1436,898,2021.11.17.00,402775,3187,
2021.11.16.00,133513,846,890,2021.11.16.00,399591,2125,
2021.11.15.00,132668,859,879,2021.11.15.00,397466,2006,
2021.11.14.00,131809,978,876,2021.11.14.00,395460,2419,
2021.11.13.00,130831,1005,869,2021.11.13.00,393042,2325,
2021.11.12.00,129827,949,861,2021.11.12.00,390719,2368,
2021.11.11.00,128878,1004,855,2021.11.11.00,388351,2520,
2021.11.10.00,127874,973,844,2021.11.10.00,385831,2425,
2021.11.09.00,126901,662,840,2021.11.09.00,383407,1715,
2021.11.08.00,126241,709,833,2021.11.08.00,381694,1760,
2021.11.07.00,125533,848,828,2021.11.07.00,379935,2224,
2021.11.06.00,124685,916,822,2021.11.06.00,377712,2248,
2021.11.05.00,123769,980,818,2021.11.05.00,375464,2344,
2021.11.04.00,122789,946,814,2021.11.04.00,373120,2482,
2021.11.03.00,121843,1004,807,2021.11.03.00,370640,2667,
2021.11.02.00,120840,600,802,2021.11.02.00,367974,1589,
2021.11.01.00,120240,646,799,2021.11.01.00,366386,1686,
2021.10.31.00,119594,760,796,2021.10.31.00,364700,2061,
2021.10.30.00,118834,706,788,2021.10.30.00,362639,2104,
2021.10.29.00,118128,770,786,2021.10.29.00,360536,2124,
2021.10.28.00,117358,788,782,2021.10.28.00,358412,2111,
2021.10.27.00,116572,729,779,2021.10.27.00,356305,1952,
2021.10.26.00,115844,427,776,2021.10.26.00,354355,1266,
2021.10.25.00,115417,455,769,2021.10.25.00,353089,1190,
2021.10.24.00,114962,520,764,2021.10.24.00,351899,1423,
2021.10.23.00,114442,551,756,2021.10.23.00,350476,1508,
2021.10.22.00,113891,519,746,2021.10.22.00,348969,1440,
2021.10.21.00,113372,506,741,2021.10.21.00,347529,1441,
2021.10.20.00,112866,504,737,2021.10.20.00,346088,1571,
2021.10.19.00,112363,298,732,2021.10.19.00,344518,1073,
2021.10.18.00,112065,355,721,2021.10.18.00,343445,1050,
2021.10.17.00,111710,506,717,2021.10.17.00,342396,1420,
2021.10.16.00,111205,586,709,2021.10.16.00,340978,1618,
2021.10.15.00,110620,681,702,2021.10.15.00,339361,1684,
2021.10.14.00,109940,748,701,2021.10.14.00,337679,1940,
2021.10.13.00,109195,583,696,2021.10.13.00,335742,1584,
